郎: U+90CE
痕: U+75D5
怠: U+6020
欺: U+6B3A
弦: U+5F26
泡: U+6CE1
諦: U+8AE6
伐: U+4F10
餅: U+9905
寮: U+5BEE
厄: U+5384
奔: U+5954
瞳: U+77B3
昆: U+6606
椎: U+690E
懇: U+61C7
唄: U+5504
渦: U+6E26
襟: U+895F
吟: U+541F
覇: U+8987
衡: U+8861
呈: U+5448
隙: U+9699
淫: U+6DEB
娠: U+5A20
循: U+5FAA
懲: U+61F2
錦: U+9326
猟: U+731F
幣: U+5E63
附: U+9644
箇: U+7B87
醜: U+919C
箸: U+7BB8
戚: U+621A
喚: U+559A
紺: U+7D3A
某: U+67D0
鋼: U+92FC
褒: U+8912
赴: U+8D74
媒: U+5A92
妬: U+59AC
遮: U+906E
窯: U+7AAF
侯: U+4FAF
釜: U+91DC
茎: U+830E
蔑: U+8511
嗅: U+55C5
壌: U+58CC
蜜: U+871C
尼: U+5C3C
肢: U+80A2
赦: U+8D66
酬: U+916C
戴: U+6234
詠: U+8A60
斗: U+6597
宜: U+5B9C
殻: U+6BBB
墳: U+58B3
炊: U+708A
碑: U+7891
痩: U+75E9
但: U+4F46
奨: U+5968
践: U+8DF5
滋: U+6ECB
儒: U+5112
薦: U+85A6
怨: U+6028
栽: U+683D
刈: U+5208
閑: U+9591
錠: U+9320
扶: U+6276
妥: U+59A5
妨: U+59A8
醒: U+9192
詣: U+8A63
胎: U+80CE
窟: U+7A9F
巾: U+5DFE
蜂: U+8702
忌: U+5FCC
骸: U+9AB8
弄: U+5F04
嫉: U+5AC9
粛: U+7C9B
罵: U+7F75
囚: U+56DA
鉛: U+925B
搭: U+642D
諭: U+8AED
璧: U+74A7
阜: U+961C
喝: U+559D
享: U+4EAB
騰: U+9A30
嗣: U+55E3
勅: U+52C5
篤: U+7BE4
勲: U+52F2
埼: U+57FC
伎: U+4F0E
曖: U+66D6
詐: U+8A50
餌: U+990C
岬: U+5CAC
暫: U+66AB
爽: U+723D
肖: U+8096
詮: U+8A6E
諾: U+8AFE
柿: U+67FF
芯: U+82AF
綻: U+7DBB
訂: U+8A02
汽: U+6C7D
薫: U+85AB
隷: U+96B7
俵: U+4FF5
遷: U+9077
枢: U+67A2
肘: U+8098
麓: U+9E93
憧: U+61A7
帥: U+5E25
漆: U+6F06
酌: U+914C
頓: U+9813
賠: U+8CE0
渇: U+6E07
慕: U+6155
婿: U+5A7F
妄: U+5984
慨: U+6168
匿: U+533F
渓: U+6E13
侮: U+4FAE
髄: U+9AC4
穀: U+7A40
薪: U+85AA
轄: U+8F44
洪: U+6D2A
牙: U+7259
咽: U+54BD
迅: U+8FC5
該: U+8A72
逐: U+9010
嘲: U+5632
墜: U+589C
臆: U+81C6
餓: U+9913
挫: U+632B
錬: U+932C
桟: U+685F
溺: U+6EBA
賄: U+8CC4
盲: U+76F2
鯨: U+9BE8
侶: U+4FB6
艇: U+8247
丼: U+4E3C
堕: U+5815
瘍: U+760D
槽: U+69FD
憩: U+61A9
僅: U+50C5
閲: U+95B2
柵: U+67F5
畔: U+7554
睦: U+7766
唆: U+5506
悼: U+60BC
吏: U+540F
穫: U+7A6B
酢: U+9162
賜: U+8CDC
腎: U+814E
梗: U+6897
瑠: U+7460
羨: U+7FA8
搬: U+642C
剖: U+5256
酎: U+914E
畿: U+757F
宵: U+5BB5
拐: U+62D0
醸: U+91B8
猶: U+7336
諮: U+8AEE
畏: U+754F
泌: U+6CCC
愁: U+6101
逝: U+901D
朽: U+673D
硫: U+786B
瞭: U+77AD
擬: U+64EC
叙: U+53D9
弊: U+5F0A
累: U+7D2F
煩: U+7169
踪: U+8E2A
藻: U+85FB
蚊: U+868A
栃: U+6803
且: U+4E14
鋳: U+92F3
蔽: U+853D
茨: U+8328
棺: U+68FA
慄: U+6144
傲: U+50B2
硝: U+785D
舶: U+8236
租: U+79DF
倣: U+5023
謹: U+8B39
抹: U+62B9
虹: U+8679
捻: U+637B
娯: U+5A2F
臼: U+81FC
喩: U+55A9
萎: U+840E
蛍: U+86CD
窒: U+7A92
腺: U+817A
桁: U+6841
玩: U+73A9
冶: U+51B6
羞: U+7F9E
栓: U+6813
惧: U+60E7
寡: U+5BE1
畝: U+755D
淑: U+6DD1
嫡: U+5AE1
屯: U+5C6F
糾: U+7CFE
遡: U+9061
陪: U+966A
雌: U+96CC
舷: U+8237
霜: U+971C
殉: U+6B89
紡: U+7D21
貪: U+8CAA
庸: U+5EB8
韻: U+97FB
繕: U+7E55
搾: U+643E
刹: U+5239
采: U+91C7
堆: U+5806
禍: U+798D
煎: U+714E
姻: U+59FB
斑: U+6591
冥: U+51A5
抄: U+6284
拷: U+62F7
遜: U+905C
旺: U+65FA
准: U+51C6
勾: U+52FE
廉: U+5EC9
礁: U+7901
壱: U+58F1
麺: U+9EBA
升: U+5347
卸: U+5378
耗: U+8017
謁: U+8B01
璃: U+7483
坑: U+5751
串: U+4E32
弔: U+5F14
賓: U+8CD3
塡: U+5861
痢: U+75E2
嚇: U+5687
濫: U+6FEB
俸: U+4FF8
箋: U+7B8B
凸: U+51F8
脊: U+810A
詔: U+8A54
緻: U+7DFB
凹: U+51F9
罷: U+7F77
漸: U+6F38
賦: U+8CE6
弧: U+5F27
褐: U+8910
辣: U+8FA3
摯: U+646F
汎: U+6C4E
斥: U+65A5
厘: U+5398
矯: U+77EF
毀: U+6BC0
窃: U+7A83
遵: U+9075
賂: U+8CC2
惰: U+60F0
蚕: U+8695
氾: U+6C3E
諧: U+8AE7
倹: U+5039
款: U+6B3E
媛: U+5A9B
憾: U+61BE
哺: U+54FA
衷: U+8877
彙: U+5F59
迭: U+8FED
嘱: U+5631
恣: U+6063
墾: U+58BE
逓: U+9013
劾: U+52BE
酪: U+916A
沃: U+6C83
塑: U+5851
痘: U+75D8
憬: U+61AC
朕: U+6715
虞: U+865E
丙: U+4E19
斤: U+65A4
捗: U+6357
弐: U+5F10
訃: U+8A03
謄: U+8B04
繭: U+7E6D
璽: U+74BD
頒: U+9812
楷: U+6977
剥: U+5265
籠: U+7C60
錮: U+932E
頰: U+9830
