合: U+5408
規: U+898F
精: U+7CBE
抱: U+62B1
労: U+52B4
処: U+51E6
退: U+9000
費: U+8CBB
非: U+975E
喜: U+559C
娘: U+5A18
逃: U+9003
探: U+63A2
犯: U+72AF
薬: U+85AC
園: U+5712
疑: U+7591
緒: U+7DD2
静: U+9759
具: U+5177
席: U+5E2D
速: U+901F
舞: U+821E
宿: U+5BBF
程: U+7A0B
倒: U+5012
寝: U+5BDD
宅: U+5B85
絵: U+7D75
破: U+7834
庭: U+5EAD
婦: U+5A66
余: U+4F59
訪: U+8A2A
冷: U+51B7
暮: U+66AE
腹: U+8179
危: U+5371
許: U+8A31
似: U+4F3C
険: U+967A
財: U+8CA1
遊: U+904A
雑: U+96D1
恐: U+6050
値: U+5024
暗: U+6697
積: U+7A4D
夢: U+5922
痛: U+75DB
富: U+5BCC
刻: U+523B
鳴: U+9CF4
欲: U+6B32
途: U+9014
曲: U+66F2
耳: U+8033
完: U+5B8C
願: U+9858
罪: U+7F6A
陽: U+967D
亡: U+4EA1
散: U+6563
掛: U+639B
昨: U+6628
怒: U+6012
留: U+7559
礼: U+793C
列: U+5217
雪: U+96EA
払: U+6255
給: U+7D66
敗: U+6557
捕: U+6355
忘: U+5FD8
晴: U+6674
因: U+56E0
折: U+6298
迎: U+8FCE
悲: U+60B2
港: U+6E2F
責: U+8CAC
除: U+9664
困: U+56F0
閉: U+9589
吸: U+5438
髪: U+9AEA
束: U+675F
眠: U+7720
易: U+6613
窓: U+7A93
祖: U+7956
勤: U+52E4
昔: U+6614
便: U+4FBF
適: U+9069
吹: U+5439
候: U+5019
怖: U+6016
辞: U+8F9E
否: U+5426
遅: U+9045
煙: U+7159
徒: U+5F92
欠: U+6B20
迷: U+8FF7
洗: U+6D17
互: U+4E92
才: U+624D
更: U+66F4
歯: U+6B6F
盗: U+76D7
慣: U+6163
晩: U+6669
箱: U+7BB1
到: U+5230
頂: U+9802
杯: U+676F
皆: U+7686
招: U+62DB
寒: U+5BD2
恥: U+6065
疲: U+75B2
貧: U+8CA7
猫: U+732B
誤: U+8AA4
努: U+52AA
幾: U+5E7E
賛: U+8CDB
偶: U+5076
忙: U+5FD9
泳: U+6CF3
靴: U+9774
偉: U+5049
