軍: U+8ECD
枝: U+679D
依: U+4F9D
幼: U+5E7C
斬: U+65AC
勇: U+52C7
昇: U+6607
寿: U+5BFF
菜: U+83DC
季: U+5B63
液: U+6DB2
券: U+5238
祭: U+796D
袋: U+888B
燃: U+71C3
毒: U+6BD2
札: U+672D
狙: U+72D9
脇: U+8107
卒: U+5352
副: U+526F
敬: U+656C
針: U+91DD
拝: U+62DD
浴: U+6D74
悩: U+60A9
汚: U+6C5A
灯: U+706F
坊: U+574A
尻: U+5C3B
涙: U+6D99
停: U+505C
了: U+4E86
汗: U+6C57
郵: U+90F5
幅: U+5E45
童: U+7AE5
虫: U+866B
埋: U+57CB
舟: U+821F
闇: U+95C7
棒: U+68D2
貨: U+8CA8
肌: U+808C
臓: U+81D3
塩: U+5869
均: U+5747
湖: U+6E56
損: U+640D
膝: U+819D
辛: U+8F9B
双: U+53CC
軒: U+8ED2
績: U+7E3E
干: U+5E72
姓: U+59D3
掘: U+6398
籍: U+7C4D
珍: U+73CD
訓: U+8A13
預: U+9810
署: U+7F72
漁: U+6F01
緑: U+7DD1
畳: U+7573
咲: U+54B2
貿: U+8CBF
踊: U+8E0A
封: U+5C01
兆: U+5146
柱: U+67F1
駐: U+99D0
祝: U+795D
炭: U+70AD
柔: U+67D4
雇: U+96C7
乾: U+4E7E
鋭: U+92ED
氷: U+6C37
隅: U+9685
冊: U+518A
糸: U+7CF8
募: U+52DF
硬: U+786C
塗: U+5857
憎: U+618E
泥: U+6CE5
脂: U+8102
粉: U+7C89
詞: U+8A5E
筒: U+7B52
掃: U+6383
塔: U+5854
賢: U+8CE2
拾: U+62FE
麦: U+9EA6
刷: U+5237
卵: U+5375
械: U+68B0
皿: U+76BF
祈: U+7948
灰: U+7070
召: U+53EC
溶: U+6EB6
磨: U+78E8
粒: U+7C92
喫: U+55AB
机: U+673A
貯: U+8CAF
匹: U+5339
綿: U+7DBF
贈: U+8D08
凍: U+51CD
瓶: U+74F6
帽: U+5E3D
涼: U+6DBC
秒: U+79D2
湿: U+6E7F
蒸: U+84B8
菓: U+83D3
耕: U+8015
鉱: U+9271
膚: U+819A
胃: U+80C3
挟: U+631F
郊: U+90CA
銅: U+9285
鈍: U+920D
貝: U+8C9D
缶: U+7F36
枯: U+67AF
滴: U+6EF4
符: U+7B26
畜: U+755C
軟: U+8EDF
濯: U+6FEF
隻: U+96BB
伺: U+4F3A
沸: U+6CB8
曇: U+66C7
肯: U+80AF
燥: U+71E5
零: U+96F6
