# Character code table for jōyō kanji (2010)
# 常用漢字(2010年)と文字コードの対応表
# 
# Column 1: Kanji itself
# Column 2: Code point in JIS X 0213
# Column 3: Bit combination in GL (so-called 7-bit JIS code)
# Column 4: Bit combination in GR (EUC-JIS-2004)
# Column 5: Bit combination in SJIS (Shift_JIS-2004)
# Column 6: Code point in ISO/IEC 10646 UCS a.k.a. Unicode
#
# Distribution of this file is unlimited.
# This file is not authorized by any official organization.
# No warranty.
# 
# See also:
#   - Jōyō-kanji-hyō (常用漢字表)
#       http://www.bunka.go.jp/kokugo_nihongo/kokujikunrei_h221130.html
#   - JIS X 0213:2000/AMENDMENT 2:2012
#       7-bit and 8-bit double byte coded extended Kanji sets for 
#       information interchange (Amendment 2)
# 
# kanji, plane-row-cell, GL (7bit), GR (EUC), SJIS, UCS
署,1-29-80,3D70,BDF0,8F90,U+7F72
緒,1-29-79,3D6F,BDEF,8F8F,U+7DD2
諸,1-29-84,3D74,BDF4,8F94,U+8AF8
女,1-29-87,3D77,BDF7,8F97,U+5973
如,1-39-01,4721,C7A1,9440,U+5982
助,1-29-85,3D75,BDF5,8F95,U+52A9
序,1-29-88,3D78,BDF8,8F98,U+5E8F
叙,1-29-86,3D76,BDF6,8F96,U+53D9
徐,1-29-89,3D79,BDF9,8F99,U+5F90
除,1-29-92,3D7C,BDFC,8F9C,U+9664
小,1-30-14,3E2E,BEAE,8FAC,U+5C0F
升,1-30-03,3E23,BEA3,8FA1,U+5347
少,1-30-15,3E2F,BEAF,8FAD,U+5C11
召,1-30-04,3E24,BEA4,8FA2,U+53EC
匠,1-30-02,3E22,BEA2,8FA0,U+5320
床,1-30-18,3E32,BEB2,8FB0,U+5E8A
抄,1-30-22,3E36,BEB6,8FB4,U+6284
肖,1-30-51,3E53,BED3,8FD1,U+8096
尚,1-30-16,3E30,BEB0,8FAE,U+5C1A
招,1-30-23,3E37,BEB7,8FB5,U+62DB
承,1-30-21,3E35,BEB5,8FB3,U+627F
昇,1-30-26,3E3A,BEBA,8FB8,U+6607
松,1-30-30,3E3E,BEBE,8FBC,U+677E
沼,1-30-34,3E42,BEC2,8FC0,U+6CBC
昭,1-30-28,3E3C,BEBC,8FBA,U+662D
宵,1-30-12,3E2C,BEAC,8FAA,U+5BB5
将,1-30-13,3E2D,BEAD,8FAB,U+5C06
消,1-30-35,3E43,BEC3,8FC1,U+6D88
症,1-30-41,3E49,BEC9,8FC7,U+75C7
祥,1-30-45,3E4D,BECD,8FCB,U+7965
称,1-30-46,3E4E,BECE,8FCC,U+79F0
笑,1-30-48,3E50,BED0,8FCE,U+7B11
唱,1-30-07,3E27,BEA7,8FA5,U+5531
商,1-30-06,3E26,BEA6,8FA4,U+5546
渉,1-30-36,3E44,BEC4,8FC2,U+6E09
章,1-30-47,3E4F,BECF,8FCD,U+7AE0
紹,1-30-50,3E52,BED2,8FD0,U+7D39
訟,1-30-57,3E59,BED9,8FD7,U+8A1F
勝,1-30-01,3E21,BEA1,8F9F,U+52DD
掌,1-30-24,3E38,BEB8,8FB6,U+638C
晶,1-30-29,3E3D,BEBD,8FBB,U+6676
焼,1-30-38,3E46,BEC6,8FC4,U+713C
焦,1-30-39,3E47,BEC7,8FC5,U+7126
硝,1-30-43,3E4B,BECB,8FC9,U+785D
粧,1-30-49,3E51,BED1,8FCF,U+7CA7
詔,1-30-59,3E5B,BEDB,8FD9,U+8A54
証,1-30-58,3E5A,BEDA,8FD8,U+8A3C
象,1-30-61,3E5D,BEDD,8FDB,U+8C61
傷,1-29-93,3D7D,BDFD,8F9D,U+50B7
奨,1-30-09,3E29,BEA9,8FA7,U+5968
照,1-30-40,3E48,BEC8,8FC6,U+7167
詳,1-30-60,3E5C,BEDC,8FDA,U+8A73
彰,1-30-20,3E34,BEB4,8FB2,U+5F70
障,1-30-67,3E63,BEE3,8FE1,U+969C
憧,1-38-20,4634,C6B4,93B2,U+61A7
衝,1-30-55,3E57,BED7,8FD5,U+885D
賞,1-30-62,3E5E,BEDE,8FDC,U+8CDE
償,1-29-94,3D7E,BDFE,8F9E,U+511F
礁,1-30-44,3E4C,BECC,8FCA,U+7901
鐘,1-30-66,3E62,BEE2,8FE0,U+9418
上,1-30-69,3E65,BEE5,8FE3,U+4E0A
丈,1-30-70,3E66,BEE6,8FE4,U+4E08
冗,1-30-73,3E69,BEE9,8FE7,U+5197
条,1-30-82,3E72,BEF2,8FF0,U+6761
状,1-30-85,3E75,BEF5,8FF3,U+72B6
乗,1-30-72,3E68,BEE8,8FE6,U+4E57
城,1-30-75,3E6B,BEEB,8FE9,U+57CE
浄,1-30-84,3E74,BEF4,8FF2,U+6D44
剰,1-30-74,3E6A,BEEA,8FE8,U+5270
常,1-30-79,3E6F,BEEF,8FED,U+5E38
情,1-30-80,3E70,BEF0,8FEE,U+60C5
場,1-30-76,3E6C,BEEC,8FEA,U+5834
畳,1-30-86,3E76,BEF6,8FF4,U+7573
蒸,1-30-88,3E78,BEF8,8FF6,U+84B8
縄,1-38-76,466C,C6EC,93EA,U+7E04
壌,1-30-77,3E6D,BEED,8FEB,U+58CC
嬢,1-30-78,3E6E,BEEE,8FEC,U+5B22
錠,1-30-91,3E7B,BEFB,8FF9,U+9320
譲,1-30-89,3E79,BEF9,8FF7,U+8B72
醸,1-30-90,3E7A,BEFA,8FF8,U+91B8
色,1-31-07,3F27,BFA7,9046,U+8272
拭,1-31-01,3F21,BFA1,9040,U+62ED
食,1-31-09,3F29,BFA9,9048,U+98DF
植,1-31-02,3F22,BFA2,9041,U+690D
殖,1-31-03,3F23,BFA3,9042,U+6B96
飾,1-30-94,3E7E,BEFE,8FFC,U+98FE
触,1-31-08,3F28,BFA8,9047,U+89E6
嘱,1-30-92,3E7C,BEFC,8FFA,U+5631
織,1-31-05,3F25,BFA5,9044,U+7E54
職,1-31-06,3F26,BFA6,9045,U+8077
辱,1-31-11,3F2B,BFAB,904A,U+8FB1
尻,1-31-12,3F2C,BFAC,904B,U+5C3B
心,1-31-20,3F34,BFB4,9053,U+5FC3
申,1-31-29,3F3D,BFBD,905C,U+7533
伸,1-31-13,3F2D,BFAD,904C,U+4F38
臣,1-31-35,3F43,BFC3,9062,U+81E3
芯,1-31-36,3F44,BFC4,9063,U+82AF
身,1-31-40,3F48,BFC8,9067,U+8EAB
辛,1-31-41,3F49,BFC9,9068,U+8F9B
侵,1-31-15,3F2F,BFAF,904E,U+4FB5
信,1-31-14,3F2E,BFAE,904D,U+4FE1
津,1-36-37,4445,C4C5,92C3,U+6D25
神,1-31-32,3F40,BFC0,905F,U+795E
唇,1-31-16,3F30,BFB0,904F,U+5507
娠,1-31-17,3F31,BFB1,9050,U+5A20
振,1-31-22,3F36,BFB6,9055,U+632F
浸,1-31-27,3F3B,BFBB,905A,U+6D78
真,1-31-31,3F3F,BFBF,905E,U+771F
針,1-31-43,3F4B,BFCB,906A,U+91DD
深,1-31-28,3F3C,BFBC,905B,U+6DF1
紳,1-31-34,3F42,BFC2,9061,U+7D33
進,1-31-42,3F4A,BFCA,9069,U+9032
森,1-31-25,3F39,BFB9,9058,U+68EE
診,1-31-39,3F47,BFC7,9066,U+8A3A
寝,1-31-18,3F32,BFB2,9051,U+5BDD
慎,1-31-21,3F35,BFB5,9054,U+614E
新,1-31-23,3F37,BFB7,9056,U+65B0
審,1-31-19,3F33,BFB3,9052,U+5BE9
震,1-31-44,3F4C,BFCC,906B,U+9707
薪,1-31-37,3F45,BFC5,9064,U+85AA
親,1-31-38,3F46,BFC6,9065,U+89AA
人,1-31-45,3F4D,BFCD,906C,U+4EBA
刃,1-31-47,3F4F,BFCF,906E,U+5203
仁,1-31-46,3F4E,BFCE,906D,U+4EC1
尽,1-31-52,3F54,BFD4,9073,U+5C3D
迅,1-31-55,3F57,BFD7,9076,U+8FC5
甚,1-31-51,3F53,BFD3,9072,U+751A
陣,1-31-56,3F58,BFD8,9077,U+9663
尋,1-31-50,3F52,BFD2,9071,U+5C0B
腎,1-31-53,3F55,BFD5,9074,U+814E
須,1-31-60,3F5C,BFDC,907B,U+9808
図,1-31-62,3F5E,BFDE,907D,U+56F3
水,1-31-69,3F65,BFE5,9085,U+6C34
吹,1-31-65,3F61,BFE1,9081,U+5439
垂,1-31-66,3F62,BFE2,9082,U+5782
炊,1-31-70,3F66,BFE6,9086,U+708A
帥,1-31-67,3F63,BFE3,9083,U+5E25
粋,1-31-72,3F68,BFE8,9088,U+7C8B
衰,1-31-74,3F6A,BFEA,908A,U+8870
推,1-31-68,3F64,BFE4,9084,U+63A8
酔,1-31-76,3F6C,BFEC,908C,U+9154
遂,1-31-75,3F6B,BFEB,908B,U+9042
睡,1-31-71,3F67,BFE7,9087,U+7761
穂,1-42-70,4A66,CAE6,95E4,U+7A42
随,1-31-79,3F6F,BFEF,908F,U+968F
髄,1-31-81,3F71,BFF1,9091,U+9AC4
枢,1-31-85,3F75,BFF5,9095,U+67A2
崇,1-31-82,3F72,BFF2,9092,U+5D07
数,1-31-84,3F74,BFF4,9094,U+6570
据,1-31-88,3F78,BFF8,9098,U+636E
杉,1-31-89,3F79,BFF9,9099,U+6749
裾,1-31-94,3F7E,BFFE,909E,U+88FE
寸,1-32-03,4023,C0A3,90A1,U+5BF8
瀬,1-32-05,4025,C0A5,90A3,U+702C
是,1-32-07,4027,C0A7,90A5,U+662F
井,1-16-70,3066,B0E6,88E4,U+4E95
世,1-32-04,4024,C0A4,90A2,U+4E16
正,1-32-21,4035,C0B5,90B3,U+6B63
生,1-32-24,4038,C0B8,90B6,U+751F
成,1-32-14,402E,C0AE,90AC,U+6210
西,1-32-30,403E,C0BE,90BC,U+897F
声,1-32-28,403C,C0BC,90BA,U+58F0
制,1-32-09,4029,C0A9,90A7,U+5236
姓,1-32-11,402B,C0AB,90A9,U+59D3
征,1-32-12,402C,C0AC,90AA,U+5F81
性,1-32-13,402D,C0AD,90AB,U+6027
青,1-32-36,4044,C0C4,90C2,U+9752
斉,1-32-38,4046,C0C6,90C4,U+6589
政,1-32-15,402F,C0AF,90AD,U+653F
星,1-32-17,4031,C0B1,90AF,U+661F
牲,1-32-23,4037,C0B7,90B5,U+7272
省,1-30-42,3E4A,BECA,8FC8,U+7701
凄,1-32-08,4028,C0A8,90A6,U+51C4
逝,1-32-34,4042,C0C2,90C0,U+901D
清,1-32-22,4036,C0B6,90B4,U+6E05
盛,1-32-25,4039,C0B9,90B7,U+76DB
婿,1-44-27,4C3B,CCBB,96B9,U+5A7F
晴,1-32-18,4032,C0B2,90B0,U+6674
勢,1-32-10,402A,C0AA,90A8,U+52E2
聖,1-32-27,403B,C0BB,90B9,U+8056
誠,1-32-31,403F,C0BF,90BD,U+8AA0
精,1-32-26,403A,C0BA,90B8,U+7CBE
製,1-32-29,403D,C0BD,90BB,U+88FD
誓,1-32-32,4040,C0C0,90BE,U+8A93
静,1-32-37,4045,C0C5,90C3,U+9759
請,1-32-33,4041,C0C1,90BF,U+8ACB
整,1-32-16,4030,C0B0,90AE,U+6574
醒,1-32-35,4043,C0C3,90C1,U+9192
税,1-32-39,4047,C0C7,90C5,U+7A0E
夕,1-45-28,4D3C,CDBC,975B,U+5915
斥,1-32-45,404D,C0CD,90CB,U+65A5
石,1-32-48,4050,C0D0,90CE,U+77F3
赤,1-32-54,4056,C0D6,90D4,U+8D64
昔,1-32-46,404E,C0CE,90CC,U+6614
析,1-32-47,404F,C0CF,90CD,U+6790
席,1-32-42,404A,C0CA,90C8,U+5E2D
脊,1-32-52,4054,C0D4,90D2,U+810A
隻,1-32-41,4049,C0C9,90C7,U+96BB
惜,1-32-43,404B,C0CB,90C9,U+60DC
戚,1-32-44,404C,C0CC,90CA,U+621A
責,1-32-53,4055,C0D5,90D3,U+8CAC
跡,1-32-55,4057,C0D7,90D5,U+8DE1
積,1-32-49,4051,C0D1,90CF,U+7A4D
績,1-32-51,4053,C0D3,90D1,U+7E3E
籍,1-32-50,4052,C0D2,90D0,U+7C4D
切,1-32-58,405A,C0DA,90D8,U+5207
折,1-32-62,405E,C0DE,90DC,U+6298
拙,1-32-59,405B,C0DB,90D9,U+62D9
窃,1-32-64,4060,C0E0,90DE,U+7A83
接,1-32-60,405C,C0DC,90DA,U+63A5
設,1-32-63,405F,C0DF,90DD,U+8A2D
雪,1-32-67,4063,C0E3,90E1,U+96EA
摂,1-32-61,405D,C0DD,90DB,U+6442
節,1-32-65,4061,C0E1,90DF,U+7BC0
説,1-32-66,4062,C0E2,90E0,U+8AAC
舌,1-32-69,4065,C0E5,90E3,U+820C
絶,1-32-68,4064,C0E4,90E2,U+7D76
千,1-32-73,4069,C0E9,90E7,U+5343
川,1-32-78,406E,C0EE,90EC,U+5DDD
仙,1-32-71,4067,C0E7,90E5,U+4ED9
占,1-32-74,406A,C0EA,90E8,U+5360
先,1-32-72,4068,C0E8,90E6,U+5148
宣,1-32-75,406B,C0EB,90E9,U+5BA3
専,1-32-76,406C,C0EC,90EA,U+5C02
泉,1-32-84,4074,C0F4,90F2,U+6CC9
浅,1-32-85,4075,C0F5,90F3,U+6D45
洗,1-32-86,4076,C0F6,90F4,U+6D17
染,1-32-87,4077,C0F7,90F5,U+67D3
扇,1-32-80,4070,C0F0,90EE,U+6247
栓,1-32-82,4072,C0F2,90F0,U+6813
旋,1-32-91,407B,C0FB,90F9,U+65CB
船,1-33-05,4125,C1A5,9144,U+8239
戦,1-32-79,406F,C0EF,90ED,U+6226
煎,1-32-89,4079,C0F9,90F7,U+714E
羨,1-33-02,4122,C1A2,9141,U+7FA8
腺,1-33-03,4123,C1A3,9142,U+817A
詮,1-33-07,4127,C1A7,9146,U+8A6E
践,1-33-09,4129,C1A9,9148,U+8DF5
箋,1-68-21,6435,E4B5,E2B3,U+7B8B
銭,1-33-12,412C,C1AC,914B,U+92AD
潜,1-32-88,4078,C0F8,90F6,U+6F5C
線,1-32-94,407E,C0FE,90FC,U+7DDA
遷,1-33-11,412B,C1AB,914A,U+9077
選,1-33-10,412A,C1AA,9149,U+9078
薦,1-33-06,4126,C1A6,9145,U+85A6
繊,1-33-01,4121,C1A1,9140,U+7E4A
鮮,1-33-15,412F,C1AF,914E,U+9BAE
全,1-33-20,4134,C1B4,9153,U+5168
前,1-33-16,4130,C1B0,914F,U+524D
善,1-33-17,4131,C1B1,9150,U+5584
然,1-33-19,4133,C1B3,9152,U+7136
禅,1-33-21,4135,C1B5,9154,U+7985
漸,1-33-18,4132,C1B2,9151,U+6F38
膳,1-33-23,4137,C1B7,9156,U+81B3
繕,1-33-22,4136,C1B6,9155,U+7E55
狙,1-33-32,4140,C1C0,915F,U+72D9
阻,1-33-43,414B,C1CB,916A,U+963B
祖,1-33-36,4144,C1C4,9163,U+7956
租,1-33-37,4145,C1C5,9164,U+79DF
素,1-33-39,4147,C1C7,9166,U+7D20
措,1-33-28,413C,C1BC,915B,U+63AA
粗,1-33-38,4146,C1C6,9165,U+7C97
組,1-33-40,4148,C1C8,9167,U+7D44
疎,1-33-34,4142,C1C2,9161,U+758E
訴,1-33-42,414A,C1CA,9169,U+8A34
塑,1-33-26,413A,C1BA,9159,U+5851
遡,1-33-44,414C,C1CC,916B,U+9061
礎,1-33-35,4143,C1C3,9162,U+790E
双,1-33-48,4150,C1D0,916F,U+53CC
壮,1-33-52,4154,C1D4,9173,U+58EE
早,1-33-65,4161,C1E1,9181,U+65E9
争,1-33-72,4168,C1E8,9188,U+4E89
走,1-33-86,4176,C1F6,9196,U+8D70
奏,1-33-53,4155,C1D5,9174,U+594F
相,1-33-74,416A,C1EA,918A,U+76F8
荘,1-33-81,4171,C1F1,9191,U+8358
草,1-33-80,4170,C1F0,9190,U+8349
送,1-33-87,4177,C1F7,9197,U+9001
倉,1-33-50,4152,C1D2,9171,U+5009
捜,1-33-60,415C,C1DC,917B,U+635C
挿,1-33-62,415E,C1DE,917D,U+633F
桑,1-23-12,372C,B7AC,8C4B,U+6851
巣,1-33-67,4163,C1E3,9183,U+5DE3
掃,1-33-61,415D,C1DD,917C,U+6383
曹,1-33-66,4162,C1E2,9182,U+66F9
曽,1-33-30,413E,C1BE,915D,U+66FD
爽,1-33-54,4156,C1D6,9175,U+723D
窓,1-33-75,416B,C1EB,918B,U+7A93
創,1-33-47,414F,C1CF,916E,U+5275
喪,1-33-51,4153,C1D3,9172,U+55AA
痩,1-33-73,4169,C1E9,9189,U+75E9
葬,1-33-82,4172,C1F2,9192,U+846C
装,1-33-85,4175,C1F5,9195,U+88C5
僧,1-33-46,414E,C1CE,916D,U+50E7
想,1-33-59,415B,C1DB,917A,U+60F3
層,1-33-56,4158,C1D8,9177,U+5C64
総,1-33-77,416D,C1ED,918D,U+7DCF
遭,1-33-88,4178,C1F8,9198,U+906D
槽,1-33-69,4165,C1E5,9185,U+69FD
踪,1-77-09,6D29,EDA9,E748,U+8E2A
操,1-33-64,4160,C1E0,9180,U+64CD
燥,1-33-71,4167,C1E7,9187,U+71E5
霜,1-33-90,417A,C1FA,919A,U+971C
騒,1-33-91,417B,C1FB,919B,U+9A12
藻,1-33-84,4174,C1F4,9194,U+85FB
造,1-34-04,4224,C2A4,91A2,U+9020
像,1-33-92,417C,C1FC,919C,U+50CF
増,1-33-93,417D,C1FD,919D,U+5897
憎,1-33-94,417E,C1FE,919E,U+618E
蔵,1-34-02,4222,C2A2,91A0,U+8535
贈,1-34-03,4223,C2A3,91A1,U+8D08
臓,1-34-01,4221,C2A1,919F,U+81D3
即,1-34-08,4228,C2A8,91A6,U+5373
束,1-34-11,422B,C2AB,91A9,U+675F
足,1-34-13,422D,C2AD,91AB,U+8DB3
促,1-34-05,4225,C2A5,91A3,U+4FC3
則,1-34-07,4227,C2A7,91A5,U+5247
息,1-34-09,4229,C2A9,91A7,U+606F
捉,1-34-10,422A,C2AA,91A8,U+6349
速,1-34-14,422E,C2AE,91AC,U+901F
側,1-34-06,4226,C2A6,91A4,U+5074
測,1-34-12,422C,C2AC,91AA,U+6E2C
俗,1-34-15,422F,C2AF,91AD,U+4FD7
族,1-34-18,4232,C2B2,91B0,U+65CF
属,1-34-16,4230,C2B0,91AE,U+5C5E
賊,1-34-17,4231,C2B1,91AF,U+8CCA
続,1-34-19,4233,C2B3,91B1,U+7D9A
卒,1-34-20,4234,C2B4,91B2,U+5352
率,1-46-08,4E28,CEA8,97A6,U+7387
存,1-34-24,4238,C2B8,91B6,U+5B58
村,1-34-28,423C,C2BC,91BA,U+6751
孫,1-34-25,4239,C2B9,91B7,U+5B6B
尊,1-34-26,423A,C2BA,91B8,U+5C0A
損,1-34-27,423B,C2BB,91B9,U+640D
遜,1-34-29,423D,C2BD,91BB,U+905C
他,1-34-30,423E,C2BE,91BC,U+4ED6
多,1-34-31,423F,C2BF,91BD,U+591A
汰,1-34-33,4241,C2C1,91BF,U+6C70
打,1-34-39,4247,C2C7,91C5,U+6253
妥,1-34-37,4245,C2C5,91C3,U+59A5
唾,1-34-35,4243,C2C3,91C1,U+553E
堕,1-34-36,4244,C2C4,91C2,U+5815
惰,1-34-38,4246,C2C6,91C4,U+60F0
駄,1-34-44,424C,C2CC,91CA,U+99C4
太,1-34-32,4240,C2C0,91BE,U+592A
対,1-34-48,4250,C2D0,91CE,U+5BFE
体,1-34-46,424E,C2CE,91CC,U+4F53
耐,1-34-49,4251,C2D1,91CF,U+8010
待,1-34-52,4254,C2D4,91D2,U+5F85
怠,1-34-53,4255,C2D5,91D3,U+6020
胎,1-34-59,425B,C2DB,91D9,U+80CE
退,1-34-64,4260,C2E0,91DE,U+9000
帯,1-34-51,4253,C2D3,91D1,U+5E2F
泰,1-34-57,4259,C2D9,91D7,U+6CF0
堆,1-34-47,424F,C2CF,91CD,U+5806
袋,1-34-62,425E,C2DE,91DC,U+888B
逮,1-34-65,4261,C2E1,91DF,U+902E
替,1-34-56,4258,C2D8,91D6,U+66FF
貸,1-34-63,425F,C2DF,91DD,U+8CB8
隊,1-34-66,4262,C2E2,91E0,U+968A
滞,1-34-58,425A,C2DA,91D8,U+6EDE
態,1-34-54,4256,C2D6,91D4,U+614B
戴,1-34-55,4257,C2D7,91D5,U+6234
大,1-34-71,4267,C2E7,91E5,U+5927
代,1-34-69,4265,C2E5,91E3,U+4EE3
台,1-34-70,4266,C2E6,91E4,U+53F0
第,1-34-72,4268,C2E8,91E6,U+7B2C
題,1-34-74,426A,C2EA,91E8,U+984C
滝,1-34-76,426C,C2EC,91EA,U+6EDD
宅,1-34-80,4270,C2F0,91EE,U+5B85
択,1-34-82,4272,C2F2,91F0,U+629E
沢,1-34-84,4274,C2F4,91F2,U+6CA2
卓,1-34-78,426E,C2EE,91EC,U+5353
拓,1-34-83,4273,C2F3,91F1,U+62D3
託,1-34-87,4277,C2F7,91F5,U+8A17
濯,1-34-85,4275,C2F5,91F3,U+6FEF
諾,1-34-90,427A,C2FA,91F8,U+8AFE
濁,1-34-89,4279,C2F9,91F7,U+6FC1
但,1-35-02,4322,C3A2,9241,U+4F46
達,1-35-03,4323,C3A3,9242,U+9054
脱,1-35-06,4326,C3A6,9245,U+8131
奪,1-35-05,4325,C3A5,9244,U+596A
棚,1-35-10,432A,C3AA,9249,U+68DA
誰,1-35-15,432F,C3AF,924E,U+8AB0
丹,1-35-16,4330,C3B0,924F,U+4E39
旦,1-35-22,4336,C3B6,9255,U+65E6
担,1-35-20,4334,C3B4,9253,U+62C5
単,1-35-17,4331,C3B1,9250,U+5358
炭,1-35-26,433A,C3BA,9259,U+70AD
胆,1-35-32,4340,C3C0,925F,U+80C6
探,1-35-21,4335,C3B5,9254,U+63A2
淡,1-35-24,4338,C3B8,9257,U+6DE1
短,1-35-27,433B,C3BB,925A,U+77ED
嘆,1-35-18,4332,C3B2,9251,U+5606
端,1-35-28,433C,C3BC,925B,U+7AEF
綻,1-35-30,433E,C3BE,925D,U+7DBB
誕,1-35-34,4342,C3C2,9261,U+8A95
鍛,1-35-35,4343,C3C3,9262,U+935B
団,1-35-36,4344,C3C4,9263,U+56E3
男,1-35-43,434B,C3CB,926A,U+7537
段,1-35-42,434A,C3CA,9269,U+6BB5
断,1-35-39,4347,C3C7,9266,U+65AD
弾,1-35-38,4346,C3C6,9265,U+5F3E
暖,1-35-40,4348,C3C8,9267,U+6696
談,1-35-44,434C,C3CC,926B,U+8AC7
壇,1-35-37,4345,C3C5,9264,U+58C7
地,1-35-47,434F,C3CF,926E,U+5730
池,1-35-51,4353,C3D3,9272,U+6C60
知,1-35-46,434E,C3CE,926D,U+77E5
値,1-35-45,434D,C3CD,926C,U+5024
恥,1-35-49,4351,C3D1,9270,U+6065
致,1-35-55,4357,C3D7,9276,U+81F4
遅,1-35-57,4359,C3D9,9278,U+9045
痴,1-35-52,4354,C3D4,9273,U+75F4
稚,1-35-53,4355,C3D5,9274,U+7A1A
置,1-35-54,4356,C3D6,9275,U+7F6E
緻,1-69-44,654C,E5CC,E36B,U+7DFB
竹,1-35-61,435D,C3DD,927C,U+7AF9
畜,1-35-60,435C,C3DC,927B,U+755C
逐,1-35-64,4360,C3E0,9280,U+9010
蓄,1-35-63,435F,C3DF,927E,U+84C4
築,1-35-59,435B,C3DB,927A,U+7BC9
秩,1-35-65,4361,C3E1,9281,U+79E9
窒,1-35-66,4362,C3E2,9282,U+7A92
茶,1-35-67,4363,C3E3,9283,U+8336
着,1-35-69,4365,C3E5,9285,U+7740
嫡,1-35-68,4364,C3E4,9284,U+5AE1
中,1-35-70,4366,C3E6,9286,U+4E2D
仲,1-35-71,4367,C3E7,9287,U+4EF2
虫,1-35-78,436E,C3EE,928E,U+866B
沖,1-18-13,322D,B2AD,89AB,U+6C96
宙,1-35-72,4368,C3E8,9288,U+5B99
忠,1-35-73,4369,C3E9,9289,U+5FE0
抽,1-35-74,436A,C3EA,928A,U+62BD
注,1-35-77,436D,C3ED,928D,U+6CE8
昼,1-35-75,436B,C3EB,928B,U+663C
柱,1-35-76,436C,C3EC,928C,U+67F1
衷,1-35-79,436F,C3EF,928F,U+8877
酎,1-35-81,4371,C3F1,9291,U+914E
鋳,1-35-82,4372,C3F2,9292,U+92F3
駐,1-35-83,4373,C3F3,9293,U+99D0
著,1-35-88,4378,C3F8,9298,U+8457
貯,1-35-89,4379,C3F9,9299,U+8CAF
丁,1-35-90,437A,C3FA,929A,U+4E01
弔,1-36-04,4424,C4A4,92A2,U+5F14
庁,1-36-03,4423,C4A3,92A1,U+5E81
兆,1-35-91,437B,C3FB,929B,U+5146
町,1-36-14,442E,C4AE,92AC,U+753A
長,1-36-25,4439,C4B9,92B7,U+9577
挑,1-36-09,4429,C4A9,92A7,U+6311
帳,1-36-02,4422,C4A2,92A0,U+5E33
張,1-36-05,4425,C4A5,92A3,U+5F35
彫,1-36-06,4426,C4A6,92A4,U+5F6B
眺,1-36-15,442F,C4AF,92AD,U+773A
釣,1-36-64,4460,C4E0,92DE,U+91E3
頂,1-36-26,443A,C4BA,92B8,U+9802
鳥,1-36-27,443B,C4BB,92B9,U+9CE5
朝,1-36-11,442B,C4AB,92A9,U+671D
貼,1-37-29,453D,C5BD,935C,U+8CBC
超,1-36-22,4436,C4B6,92B4,U+8D85
腸,1-36-18,4432,C4B2,92B0,U+8178
跳,1-36-23,4437,C4B7,92B5,U+8DF3
徴,1-36-07,4427,C4A7,92A5,U+5FB4
嘲,1-51-62,535E,D3DE,9A7D,U+5632
潮,1-36-12,442C,C4AC,92AA,U+6F6E
澄,1-32-01,4021,C0A1,909F,U+6F84
調,1-36-20,4434,C4B4,92B2,U+8ABF
聴,1-36-16,4430,C4B0,92AE,U+8074
懲,1-36-08,4428,C4A8,92A6,U+61F2
直,1-36-30,443E,C4BE,92BC,U+76F4
勅,1-36-28,443C,C4BC,92BA,U+52C5
捗,1-36-29,443D,C4BD,92BB,U+6357
沈,1-36-32,4440,C4C0,92BE,U+6C88
珍,1-36-33,4441,C4C1,92BF,U+73CD
朕,1-36-31,443F,C4BF,92BD,U+6715
陳,1-36-36,4444,C4C4,92C2,U+9673
賃,1-36-34,4442,C4C2,92C0,U+8CC3
鎮,1-36-35,4443,C4C3,92C1,U+93AE
追,1-36-41,4449,C4C9,92C7,U+8FFD
椎,1-36-39,4447,C4C7,92C5,U+690E
墜,1-36-38,4446,C4C6,92C4,U+589C
通,1-36-44,444C,C4CC,92CA,U+901A
痛,1-36-43,444B,C4CB,92C9,U+75DB
塚,1-36-45,444D,C4CD,92CB,U+585A
漬,1-36-50,4452,C4D2,92D0,U+6F2C
坪,1-36-58,445A,C4DA,92D8,U+576A
爪,1-36-62,445E,C4DE,92DC,U+722A
鶴,1-36-65,4461,C4E1,92DF,U+9DB4
低,1-36-67,4463,C4E3,92E1,U+4F4E
呈,1-36-72,4468,C4E8,92E6,U+5448
廷,1-36-78,446E,C4EE,92EC,U+5EF7
弟,1-36-79,446F,C4EF,92ED,U+5F1F
定,1-36-74,446A,C4EA,92E8,U+5B9A
底,1-36-76,446C,C4EC,92EA,U+5E95
抵,1-36-81,4471,C4F1,92EF,U+62B5
邸,1-37-01,4521,C5A1,9340,U+90B8
亭,1-36-66,4462,C4E2,92E0,U+4EAD
貞,1-36-71,4467,C4E7,92E5,U+8C9E
帝,1-36-75,446B,C4EB,92E9,U+5E1D
訂,1-36-91,447B,C4FB,92F9,U+8A02
庭,1-36-77,446D,C4ED,92EB,U+5EAD
逓,1-36-94,447E,C4FE,92FC,U+9013
停,1-36-68,4464,C4E4,92E2,U+505C
偵,1-36-69,4465,C4E5,92E3,U+5075
堤,1-36-73,4469,C4E9,92E7,U+5824
提,1-36-83,4473,C4F3,92F1,U+63D0
程,1-36-88,4478,C4F8,92F6,U+7A0B
艇,1-36-90,447A,C4FA,92F8,U+8247
締,1-36-89,4479,C4F9,92F7,U+7DE0
諦,1-36-92,447C,C4FC,92FA,U+8AE6
